Номер,Название,НМЦ,Аванс,Валюта закупки,Дата публикации,Планируемая дата публикации,Окончание приема заявок,Проведение отбора,Этап отбора,Тип торгов,Ссылка на ЕИС,Способ отбора,ЭТП,"СМП, СОНО",Размещает  закупку,Контактное лицо,Метка ,Комментарий,Ответственный,Регион,Название.1,ИНН,КПП,Телефон,Место поставки,Место поставки из документов,source_date,in_registry
32616165204,Оказание услуг по доработке информационных систем на платформе 1С (4444/7.10.21-622),62204546.68,,RUB,2026-06-30 16:34:47.000,,2026-07-17 12:00:00,2026-07-22 00:00:00,Подача заявок,223-ФЗ,ЕИС,Закупка иного способа размещения,Сбербанк-АСТ,"Для СМП, СОНО","7840014918-781101001
СПБ ГКУ «Управление заказчика по строительству и капитальному ремонту объектов инженерно-энергетического комплекса»",Западинская Анастасия Сергеевна  . 78126557150126. zakupki.teploset@uz.spb.ru,,,,78 Санкт-Петербург,АО «Теплосеть Санкт-Петербурга»,7810577007.0,781001001.0,"88126884939
88126884962
88126884945
88126884947
88126884976
89219997573
88126884956
88126883398
88126883975
88126884515","Северо-Западный федеральный округ, Санкт-Петербург, В соответствии с требованиями закупочной документации",,01.07.2026,False
6126415,"Оказание услуг по предоставлению доступа к сервису ""Ассистент Преподавателя""",40000.0,,RUB,2026-06-30 13:04:21.000,,2026-07-01 13:04:00,,Завершена,Коммерческие,,Тендер,Портал поставщиков,,"5042067976-504201001
Муниципальное бюджетное общеобразовательное учреждение «Лицей №24 имени Героя Советского Союза А.В.Корявина»","МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЛИЦЕЙ №24 ИМЕНИ ГЕРОЯ СОВЕТСКОГО СОЮЗА А.В.КОРЯВИНА""",,,,50 Московская область,Муниципальное бюджетное общеобразовательное учреждение «Лицей №24 имени Героя Советского Союза А.В.Корявина»,5042067976.0,504201001.0,"84965510209
84965510210
84986021027
84986021095
84986021123
84986021142
84986021143
84986021376",Сергиев Посад; Московская область,,01.07.2026,False
3700065,"Оказание услуг по предоставлению доступа к сервису ""Ассистент Преподавателя""",40000.0,,RUB,2026-06-30 13:04:21.000,,2026-07-01 13:04:00,,Завершена,Малые закупки,,Малая закупка,Электронный магазин Московской области,,"5042067976-504201001
Муниципальное бюджетное общеобразовательное учреждение «Лицей №24 имени Героя Советского Союза А.В.Корявина»",см. документацию. см. документацию. см. документацию,,,,50 Московская область,Муниципальное бюджетное общеобразовательное учреждение «Лицей №24 имени Героя Советского Союза А.В.Корявина»,5042067976.0,504201001.0,"84965510209
84965510210
84986021027
84986021095
84986021123
84986021142
84986021143
84986021376",,,01.07.2026,False
3472043,оказание услуг по предоставлению на условиях простой (неисключительной) лицензии прав на использование и внедрение программного обеспечения Billed.pro (модуль «Закупки»),,,,2026-06-30 11:29:41.000,,2026-07-02 23:59:59,,Завершена,Коммерческие,,Мониторинг цен,ЭТП «Фабрикант»,,"2452201644-245201001
ООО «Строительно-Монтажное Управление Горно-Химического Комбината»",,,,,24 Красноярский край,ООО «Строительно-Монтажное Управление Горно-Химического Комбината»,2452201644.0,245201001.0,"83919751715
83919731406
83919739197
83919751275
83919753068","Россия, Населенные пункты, входящие в состав муниципальных образований Красноярского края",,01.07.2026,False
200911124126100013,"услуги по установке, тестированию, сопровождению программ для ЭВМ системы ""1С: Предприятие"" и баз данных, включая базы данных 1С: ИТС",69383.37,,RUB,2026-06-30 15:09:18.000,,2026-06-30 17:09:00,,Завершена,Малые закупки,,Малая закупка,ЕАТ (Березка),,"4345485219-434501001
МКУ «Централизованная Бухгалтерия Учреждений Спорта и Молодежной Политики Города Кирова»",Ягдарова Наталья Николаевна. +7(833)221-28-08. cb_kirov_sport@mail.ru,,,,43 Кировская область,МКУ «Централизованная Бухгалтерия Учреждений Спорта и Молодежной Политики Города Кирова»,4345485219.0,434501001.0,88332212808,"Кировская обл, г Киров, ул Сурикова, д 5А",,01.07.2026,False
3700285,"Лицензия на право использования программного обеспечения для ЭВМ ""ТехноКад-Муниципалитет""",89600.0,,RUB,2026-06-30 16:07:01.000,,2026-07-02 16:07:00,,Завершена,Малые закупки,,Малая закупка,Электронный магазин Московской области,,"5050010740-505001001
Администрация муниципального образования городской округ Лосино-Петровский",см. документацию. см. документацию. см. документацию,,,,50 Московская область,Администрация муниципального образования городской округ Лосино-Петровский,5050010740.0,505001001.0,"84965674318
84965674082
84965674928
84965675858
84962525069
84964674082
84965617082
84965674072
84965674080
84965674263",,,01.07.2026,False
RAD260031461,"ОКПД2 28.99.39.190 Поставка комплекта оборудования и программного обеспечения для создания автоматизированных систем управления тепломеханическим оборудованием Хабаровской ТЭЦ-4 в г. Хабаровск, Хабаровский край",,,,2026-06-30 09:31:00.000,,2026-07-08 10:00:00,,Завершена,Коммерческие,,Тендер,РАД (Lot-Online),,"2466296773-246601001
ООО «Русгидро Цифровые Решения»",Вольнов Константин Игоревич. +74951220555. volnovki@rushydro.ru,,,,24 Красноярский край,ООО «Русгидро Цифровые Решения»,2466296773.0,246601001.0,,,,01.07.2026,False
67804678720260001050000,"Лот № 659.26.00347 Доставка потребителям уведомлений на Единый портал государственных услуг (ЕПГУ) на основании данных, размещенных в государственной информационной системе жилищно-коммунального хозяйства (ГИС ЖКХ)",5900500.62,,RUB,2026-06-30 12:15:47.000,,,,Завершена,223-ФЗ,ЕИС,"Закупка у единственного поставщика (исполнителя, подрядчика)",ЕИС,,"7804678720-780401001
АО «Единый Информационно-Расчетный Центр Санкт-Петербурга»",,,,,78 Санкт-Петербург,АО «Единый Информационно-Расчетный Центр Санкт-Петербурга»,7804678720.0,780401001.0,"88122713133
88123050322
88123150540
88123250540
88126124545
88127266406
88123039712
88123239710
88126792222",,,01.07.2026,False
3700346,УСЛУГИ ПО ПРЕДОСТАВЛЕНИЮ ДОСТУПА К ON-LINE ВЕРСИИ СПРАВОЧНО-ПРАВОВОЙ СИСТЕМЫ,54865.0,,RUB,2026-06-30 17:00:00.000,,2026-07-01 16:42:20,,Завершена,Малые закупки,,Малая закупка,Электронный магазин Московской области,,"7727840510-772701001
Государственное бюджетное Общеобразовательное учреждение г. Москвы «Школа № 2109»",см. документацию. см. документацию. см. документацию,,,,77 Москва,Государственное бюджетное Общеобразовательное учреждение г. Москвы «Школа № 2109»,7727840510.0,772701001.0,"84992321118
84992341929
89265276295
84992321028",,,01.07.2026,False
ИМЗ-2026-2-044-012440,Сервер для модернизации инфраструктуры под лабораторно-информационную систему,586000.0,,RUB,2026-06-30 00:00:00.000,,2026-07-02 08:00:00,,Завершена,Малые закупки,,Малая закупка,Малые закупки Удмуртской Республики,,"1835027727-184001001
Бюджетное учреждение здравоохранения Удмуртской Республики «Республиканская детская клиническая больница Министерства здравоохранения Удмуртской Республики»",см. документацию. см. документацию. см. документацию,,,,18 Удмуртская республика,Бюджетное учреждение здравоохранения Удмуртской Республики «Республиканская детская клиническая больница Министерства здравоохранения Удмуртской Республики»,1835027727.0,184001001.0,"83412791011
89127632917
83412330304
89127683658
83412310522
83412310537
83412310579
83412330221
83412330364
83412332060",Удмуртская Республика,,01.07.2026,False
